Unnamed: 0,GEN_NAME,PMAX,PMIN,RAMP_10,GEN_FUEL,PRIMEMOVER,Energy_Source_1 (Fuel),RAMP_min,SimGEN_PERCidx,StartUpCost,MinDownTime,MinRunTime
117,Gowanus 3-6,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
118,Gowanus 3-7,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
119,Gowanus 3-8,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
120,Gowanus 4-1,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
121,Gowanus 4-2,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
122,Gowanus 4-3,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
123,Gowanus 4-4,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
124,Gowanus 4-5,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
125,Gowanus 4-6,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
126,Gowanus 4-8,20.0,0.0,3.333333,Combustion Turbine,CT,DFO,0.3333333,498,0.0,3.0,5.0
127,Gowanus 5,44.0,19.0,7.333333,Combustion Turbine,CT,NG,0.7333333,197,0.0,4.0,5.0
128,Gowanus 6,43.0,6.0,7.166667,Combustion Turbine,CT,NG,0.7166667,959,3067.9,4.0,5.0
129,Greenidge 4,113.0,36.0,18.833333,Steam Turbine,ST,NG,1.8833332999999999,978,19448.0,3.5,5.5
130,Greenport GT1,60.0,21.0,10.0,Jet Engine,GT,DFO,1.0,91,45185.78,4.0,5.0
131,Harlem River 1,43.0,18.0,7.166667,Combustion Turbine,CT,NG,0.7166667,197,0.0,4.0,5.0
132,Harlem River 2,43.0,17.5,7.166667,Combustion Turbine,CT,NG,0.7166667,197,0.0,4.0,5.0
133,Hellgate 1,43.0,17.0,7.166667,Combustion Turbine,CT,NG,0.7166667,197,0.0,4.0,5.0
134,Hellgate 2,43.0,16.0,7.166667,Combustion Turbine,CT,NG,0.7166667,197,0.0,4.0,5.0
135,Hillburn GT,37.0,1.0,6.166667,Jet Engine,GT,NG,0.6166667,599,8496.0,3.0,5.0
136,Holtsville 01,17.0,1.0,2.833333,Jet Engine,GT,DFO,0.2833333,294,0.0,2.0,2.0
137,Holtsville 02,17.0,1.0,2.833333,Jet Engine,GT,DFO,0.2833333,294,0.0,2.0,2.0
138,Holtsville 03,15.0,1.0,2.5,Jet Engine,GT,DFO,0.25,181,9145.7,2.0,3.0
139,Holtsville 04,15.0,1.0,2.5,Jet Engine,GT,DFO,0.25,181,9145.7,2.0,3.0
140,Holtsville 05,16.0,1.0,2.666667,Jet Engine,GT,DFO,0.2666667,294,0.0,2.0,2.0
141,Holtsville 06,16.0,1.0,2.666667,Jet Engine,GT,DFO,0.2666667,294,0.0,2.0,2.0
142,Holtsville 07,16.0,1.0,2.666667,Jet Engine,GT,DFO,0.2666667,294,0.0,2.0,2.0
143,Holtsville 08,16.0,1.0,2.666667,Jet Engine,GT,DFO,0.2666667,294,0.0,2.0,2.0
144,Holtsville 09,15.0,1.0,2.5,Jet Engine,GT,DFO,0.25,181,9145.7,2.0,3.0
145,Holtsville 10,15.0,1.0,2.5,Jet Engine,GT,DFO,0.25,181,9145.7,2.0,3.0
146,Hudson Ave 3,16.3,0.0,2.716667,Combustion Turbine,CT,KER,0.27166670000000004,191,2520.42,2.0,3.0
147,Hudson Ave 4,16.3,0.0,2.716667,Combustion Turbine,CT,KER,0.27166670000000004,191,2520.42,2.0,3.0
148,Hudson Ave 5,16.3,0.0,2.716667,Combustion Turbine,CT,KER,0.27166670000000004,191,2520.42,2.0,3.0
149,Indeck-Corinth,140.0,123.0,23.333333,Combined Cycle,CC,NG,2.3333333,198,19448.0,4.0,6.0
150,Indeck-Olean,84.0,18.0,14.0,Combined Cycle,CC,NG,1.4,198,19448.0,4.0,6.0
151,Indeck-Oswego,61.0,7.0,10.166667,Combined Cycle,CC,NG,1.0166667,697,0.0,4.0,6.0
152,Indeck-Silver Springs,60.0,6.0,10.0,Combined Cycle,CC,NG,1.0,474,0.0,4.0,6.0
153,Indeck-Yerkes,57.0,4.0,9.5,Combined Cycle,CC,NG,0.95,680,6994.0,4.0,6.0
154,Independence,1218.0,103.0,203.0,Combined Cycle,CC,NG,20.3,680,6994.0,4.0,6.0
155,Jamestown 5,28.7,0.0,4.783333,Steam Turbine,ST,NG,0.47833329999999996,170,0.0,7.0,8.0
156,Jamestown 6,25.0,0.0,4.166667,Steam Turbine,ST,NG,0.41666670000000006,170,0.0,7.0,8.0
157,Jamestown 7,46.0,32.0,7.666667,Combustion Turbine,CT,NG,0.7666667,197,0.0,4.0,5.0
